date,iso_code,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,total_tests_per_thousand,tests_units
2019-12-31,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-01,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-02,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-03,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-04,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-05,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-06,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-07,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-08,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-09,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-10,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-11,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-12,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-13,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-14,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-15,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-16,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-17,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-18,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-19,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-20,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-21,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-22,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-23,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-24,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-25,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
